"Date","KOSPI","Udpoint","UpDown","UDRatio","Start","High","Low"
"2011/12/29","1825.74",0.62,1,0.03,1815.63,1835.19,1806.88
"2011/12/28","1825.12",-16.9,0,-0.92,1833.26,1833.26,1817.97
"2011/12/27","1842.02",-14.68,0,-0.79,1856.78,1864.71,1813.48
"2011/12/26","1856.7",-10.52,0,-0.56,1873.07,1873.79,1851.99
"2011/12/23","1867.22",19.73,1,1.07,1861.07,1872.31,1859.4
"2011/12/22","1847.49",-0.92,0,-0.05,1841.23,1847.49,1835.91
"2011/12/21","1848.41",55.35,1,3.09,1837.99,1850.67,1831.26
"2011/12/20","1793.06",16.13,1,0.91,1791.62,1797.59,1780.1
"2011/12/19","1776.93",-63.03,0,-3.43,1829.49,1829.49,1750.6
"2011/12/16","1839.96",20.85,1,1.15,1827.83,1842.94,1823.68
"2011/12/15","1819.11",-38.64,0,-2.08,1834.82,1840.94,1817.61
"2011/12/14","1857.75",-6.31,0,-0.34,1852.2,1864.79,1851.89
"2011/12/13","1864.06",-35.7,0,-1.88,1877.4,1880.4,1863.77
"2011/12/12","1899.76",25.01,1,1.33,1902.75,1903.19,1890.18
"2011/12/09","1874.75",-37.64,0,-1.97,1883.86,1894.59,1872.67
"2011/12/08","1912.39",-7.03,0,-0.37,1911.07,1925.56,1898.34
"2011/12/07","1919.42",16.6,1,0.87,1914.5,1921.52,1904.52
"2011/12/06","1902.82",-20.08,0,-1.04,1914.49,1920.7,1892.01
"2011/12/05","1922.9",6.86,1,0.36,1928.46,1929.18,1911.61
"2011/12/02","1916.04",-0.14,0,-0.01,1914.41,1920.64,1905.69
"2011/12/01","1916.18",68.67,1,3.72,1911.5,1926.33,1908.33
"2011/11/30","1847.51",-9.01,0,-0.49,1847.17,1858.1,1838.7
"2011/11/29","1856.52",41.24,1,2.27,1828.3,1856.76,1823.93
"2011/11/28","1815.28",38.88,1,2.19,1804.8,1816.65,1795.39
"2011/11/25","1776.4",-18.66,0,-1.04,1780.06,1790.81,1766.73
"2011/11/24","1795.06",11.96,1,0.67,1775.82,1800.01,1769.43
"2011/11/23","1783.1",-43.18,0,-2.36,1820.86,1820.86,1780.24
"2011/11/22","1826.28",6.25,1,0.34,1798.41,1830.84,1797.93
"2011/11/21","1820.03",-19.14,0,-1.04,1833.9,1833.9,1811.69
"2011/11/18","1839.17",-37.5,0,-2,1839.63,1850.04,1832.17
"2011/11/17","1876.67",20.6,1,1.11,1862.87,1876.88,1835.73
"2011/11/16","1856.07",-30.05,0,-1.59,1898.14,1911.33,1853.13
"2011/11/15","1886.12",-16.69,0,-0.88,1888.67,1900.58,1878.42
"2011/11/14","1902.81",39.36,1,2.11,1889.33,1907.62,1889.33
"2011/11/11","1863.45",50.2,1,2.77,1840.98,1863.46,1823.87
"2011/11/10","1813.25",-94.28,0,-4.94,1860.96,1862.27,1813.25
"2011/11/09","1907.53",4.39,1,0.23,1925.86,1929.65,1897.47
"2011/11/08","1903.14",-15.96,0,-0.83,1927.89,1928.07,1900.09
"2011/11/07","1919.1",-9.31,0,-0.48,1932.95,1932.95,1915.38
"2011/11/04","1928.41",58.45,1,3.13,1911.56,1929.01,1906.33
"2011/11/03","1869.96",-28.05,0,-1.48,1895.14,1895.14,1863.57
"2011/11/02","1898.01",-11.62,0,-0.61,1870.51,1899.35,1859.83
"2011/11/01","1909.63",0.6,1,0.03,1891.22,1925.08,1891.22
"2011/10/31","1909.03",-20.45,0,-1.06,1922.31,1941.32,1902.04
"2011/10/28","1929.48",7.44,1,0.39,1961.09,1963.74,1920.81
"2011/10/27","1922.04",27.73,1,1.46,1906.16,1923.98,1891.23
"2011/10/26","1894.31",5.66,1,0.3,1871.69,1896.02,1864.99
"2011/10/25","1888.65",-9.67,0,-0.51,1900.99,1905.78,1883.68
"2011/10/24","1898.32",59.94,1,3.26,1858.26,1898.32,1858.23
"2011/10/21","1838.38",33.29,1,1.84,1831.89,1843.51,1809.42
"2011/10/20","1805.09",-50.83,0,-2.74,1857.46,1870.5,1804.11
"2011/10/19","1855.92",17.02,1,0.93,1851.84,1855.93,1834.38
"2011/10/18","1838.9",-26.28,0,-1.41,1826.44,1845.18,1822.91
"2011/10/17","1865.18",29.78,1,1.62,1855.72,1865.18,1845.43
"2011/10/14","1835.4",12.3,1,0.67,1816.19,1839.19,1803.42
"2011/10/13","1823.1",13.6,1,0.75,1831.95,1837.49,1823.1
"2011/10/12","1809.5",14.48,1,0.81,1789.65,1810.51,1778.97
"2011/10/11","1795.02",28.58,1,1.62,1810.36,1811.14,1792.78
"2011/10/10","1766.44",6.67,1,0.38,1763.3,1783.37,1761.68
"2011/10/07","1759.77",49.45,1,2.89,1751.55,1765.43,1747.42
"2011/10/06","1710.32",43.8,1,2.63,1714.84,1733.7,1707.77
"2011/10/05","1666.52",-39.67,0,-2.33,1718.52,1718.52,1659.31
"2011/10/04","1706.19",-63.46,0,-3.59,1683.94,1706.45,1658.06
"2011/09/30","1769.65",0.36,1,0.02,1759.52,1774.29,1742.89
"2011/09/29","1769.29",46.2,1,2.68,1713.1,1769.75,1706.9
"2011/09/28","1723.09",-12.62,0,-0.73,1751.04,1762.67,1723.08
"2011/09/27","1735.71",83,1,5.02,1704.25,1735.71,1695.05
"2011/09/26","1652.71",-44.73,0,-2.64,1720.5,1721.03,1644.11
"2011/09/23","1697.44",-103.11,0,-5.73,1736.38,1743.49,1697.39
"2011/09/22","1800.55",-53.73,0,-2.9,1807.24,1819.81,1785.69
"2011/09/21","1854.28",16.31,1,0.89,1842.17,1869.77,1831.95
"2011/09/20","1837.97",17.03,1,0.94,1819.84,1840.73,1793.75
"2011/09/19","1820.94",-19.16,0,-1.04,1818.9,1839.82,1813.1
"2011/09/16","1840.1",66.02,1,3.72,1819.45,1844.52,1807.62
"2011/09/15","1774.08",24.92,1,1.42,1797.18,1806.63,1742.91
"2011/09/14","1749.16",-63.77,0,-3.52,1804.09,1807.47,1743.78
"2011/09/09","1812.93",-33.71,0,-1.83,1817.1,1847.05,1812.9
"2011/09/08","1846.64",13.18,1,0.72,1858.05,1858.05,1826.44
"2011/09/07","1833.46",66.75,1,3.78,1811.6,1833.54,1798.79
"2011/09/06","1766.71",-19.12,0,-1.07,1752.98,1790.47,1744.03
"2011/09/05","1785.83",-81.92,0,-4.39,1829.3,1829.75,1785.82
"2011/09/02","1867.75",-12.95,0,-0.69,1872.62,1890.86,1853.7
"2011/09/01","1880.7",0.59,1,0.03,1887.21,1928.4,1877.4
"2011/08/31","1880.11",36.29,1,1.97,1846.89,1880.11,1837.82
"2011/08/30","1843.82",14.32,1,0.78,1853.77,1863.51,1835.65
"2011/08/29","1829.5",50.55,1,2.84,1807.6,1836.66,1787.29
"2011/08/26","1778.95",14.37,1,0.81,1754.39,1782.9,1754.39
"2011/08/25","1764.58",9.8,1,0.56,1791.08,1803.77,1762.79
"2011/08/24","1754.78",-21.9,0,-1.23,1788.39,1799.11,1744.07
"2011/08/23","1776.68",65.98,1,3.86,1735.23,1781.92,1719.97
"2011/08/22","1710.7",-34.18,0,-1.96,1756.59,1763.64,1704.54
"2011/08/19","1744.88",-115.7,0,-6.22,1789.78,1797.18,1744.86
"2011/08/18","1860.58",-32.09,0,-1.7,1891.82,1894.94,1833.34
"2011/08/17","1892.67",12.8,1,0.68,1868.85,1906.61,1868.6
"2011/08/16","1879.87",86.56,1,4.83,1850.53,1879.87,1848.82
"2011/08/12","1793.31",-24.13,0,-1.33,1844.13,1847.12,1788.97
"2011/08/11","1817.44",11.2,1,0.62,1733.92,1832.48,1733.92
"2011/08/10","1806.24",4.89,1,0.27,1877.4,1877.4,1802.29
"2011/08/09","1801.35",-68.1,0,-3.64,1807.88,1828.63,1684.68
"2011/08/08","1869.45",-74.3,0,-3.82,1916.57,1939.92,1800
"2011/08/05","1943.75",-74.72,0,-3.7,1937.17,1966.73,1920.67
"2011/08/04","2018.47",-47.79,0,-2.31,2067.17,2071.03,2015.23
