"","movieTitle","score","regDate","wom"
"1412","어바웃 타임",10,"2013-12-14","10.0여자주인공 웃는 모습이 정말 최고네요다른 로맨틱 코미디 영화와 달리 따듯하고교훈도있고 재미도있어요^^                    "
"5453","지.아이.조 2",9,"2013-03-29","9.0예고 영상이 너무 화려해서 보러 갔습니다. 예고편보다 더한 재미가 있는 영화가 드문데도 불구하고 이 영화는 너무너무 좋았네여. 시리즈 3도 나온다면 너무너무 기쁠것같아여                    "
"4699","겨울왕국",9,"2014-01-24","9.0디즈니만의 케릭터와 유머가 점점 식상해지긴하나, 아직까지는 눈과 귀가 호강하는것 같아요. 해피앤딩을 위해 스토리가 진부해질수밖에 없다치지만 다음편부터는 뭔가 다른 시도가 필요해보이긴 함.그래도 겨울왕국에서는 엘사의 렛잇고와 올라프를 보는 것만으로도 영화는 재밌습니다~                    "
"8190","명량",7,"2014-07-31","7.0우선 명량해전에대해 다시한번알게 되어 좋았습니다 최민식아저씨의 연기력하나로 그어떤 유명배우의등장도 다 잊어버렸습니다 허나 이정현씨 연기는 아직도 머리속에 박혀있네요 해상전에서는 자꾸만 클로즈업을 해되는통에  해전이 어케 진행되는지 도통알수가없었습니다 CG의  한계가 느껴지는부분이죠ㅡㅡ                     "
"4488","츠보미의 아로마 오일 마사지",3,"2015-02-28","3.0일본은 저런게 좋아....야메떼꾸다사이같은 앙탈 부리는 마인드..                    "
"9956","조선미녀삼총사",5,"2014-06-07","5.0강예원 목소리 매력있음                    "
"3245","점쟁이들",3,"2013-03-03","3.0코믹이다가 진지해지고, 또 코믹이다가 슬픔을 강요하고, 또 코믹이다가 액션 난장이고, 코믹이다가 전혀 무섭지 않은 공포 분위기 조성하고. 한꺼번에 너무 많은 걸 펼쳐 놓으려한 어설픈 감독의 수작. 지루함과 짜증으로 소비한 귀중한 나의 시간.                    "
"5615","노아",1,"2014-03-22","1.0성경 왜곡이나 시켜놓고 뭐하는짓?                     "
"3998","연애의 온도",9,"2013-05-09","9.0설정이 3년이듯이 ....최소몇년은 연애해본사람이면 공감할법한내용.. 남자역할이 너무 마초스러운것만빼면 괜찮았다..내용도 리얼하고 감정표현도좋았어.....근데  사실 저런엔딩은 굉장히 드물지.... 보통 헤어질때 두사람중 한쪽은 확실히 알지않나?? 아닌건 아닌거라고....                     "
"4539","꽃보다 처녀귀신",6,"2015-01-16","6.0어설프고 허술했던 연출. 자극적인 장면은 잘 묘사한듯. 용기를 낸 김성은에 응원을.                    "
